order_id,order_date,order_time,order_status,sales_channel,customer_id,customer_name,customer_age,gender,customer_segment,customer_type,customer_city,customer_state,customer_country,region,customer_postal_code,payment_method,payment_status,currency,shipping_method,warehouse,delivery_days,estimated_delivery_days,delivery_status,return_status,return_reason,customer_rating,review_sentiment,customer_review,marketing_channel,campaign_name,coupon_code,loyalty_points_earned,loyalty_points_redeemed,quantity,gross_sales,discount_amount,tax_amount,shipping_cost,net_sales,product_cost,profit,profit_margin_percentage,customer_lifetime_value,is_repeat_customer,customer_order_count
ORD-962980,2023-09-14,06:14:57,Completed,Mobile App,CUST-015708,Andrew Morgan,27,Male,Premium,Loyal,New Jonathan,Pennsylvania,USA,East,31181,Debit Card,Paid,USD,Standard,WH-006,7.0,7.0,On Time,,,4.6,Positive,Perfect product for my needs. Will buy again.,Email Marketing,,SAVE13,156,76,4,1989.76,531.95,102.05,3.12,1562.98,1025.52,534.34,34.19,6178.929999999999,True,9
ORD-458600,2025-09-12,17:09:03,Completed,Website,CUST-004163,Jamie Hopkins,56,Male,Consumer,Loyal,South Deborahberg,Wales,UK,West,78040,PayPal,Paid,GBP,Standard,WH-012,5.0,4.0,Delayed,,,3.9,Positive,Satisfied with the purchase.,Organic Search,Default_Campaign,,142,16,5,1228.5300000000002,59.17,233.87,16.77,1420.0,626.06,777.17,54.73,5737.0,True,6
ORD-315926,2024-03-18,06:10:04,Cancelled,Marketplace,CUST-013097,Tommy Lee,65,Male,Consumer,Loyal,South Teresaview,Texas,USA,South,66766,Digital Wallet,Failed,USD,Standard,WH-019,,,Cancelled,,,,,,Facebook Ads,,SAVE45,0,0,3,271.96,0.0,19.04,11.96,302.96,129.26,161.74,53.39,7912.280000000001,True,7
ORD-753361,2025-07-29,16:17:01,Completed,Mobile App,CUST-018118,Christopher Shepard,71,Female,Premium,New,Judithland,Florida,USA,South,99337,Debit Card,Paid,USD,Standard,WH-004,10.0,7.0,Delayed,,,3.1,Neutral,Not what I expected but it's okay.,Direct,Default_Campaign,,59,5,5,816.25,266.58,38.48,2.52,590.67,548.4,39.75,6.73,590.67,False,1
ORD-977667,2022-02-04,06:30:25,Completed,Website,CUST-000095,Nathan Shaw,29,Male,Consumer,Loyal,East Jeffreyhaven,South Australia,Australia,South,6520,Credit Card,Paid,AUD,Express,WH-011,1.0,1.0,On Time,,,4.2,Positive,"Product is okay, nothing special but works.",Facebook Ads,FB_Prospecting,,35,9,3,321.64,31.93,28.98,40.2,358.89,121.0,197.69,55.08,9647.45,True,9
ORD-538949,2022-01-26,19:35:34,Completed,Social Media,CUST-022868,Jose Taylor,51,Female,Premium,Loyal,Lake Matthewland,North Carolina,USA,South,33220,PayPal,Pending,USD,Same Day,WH-013,0.0,0.0,On Time,,,4.7,Positive,Product arrived quickly and works perfectly.,Direct,Default_Campaign,SAVE28,290,132,13,3105.8300000000004,450.46,185.88,66.58,2907.83,1713.78,1127.47,38.77,24648.4,True,11
ORD-718923,2024-04-27,02:16:28,Completed,Social Media,CUST-011912,Alyssa Meyer,23,Male,Business,Loyal,Smithtown,Pennsylvania,USA,East,44004,Credit Card,Pending,USD,Economy,WH-002,10.0,10.0,On Time,,,3.2,Neutral,Not what I expected but it's okay.,Google Ads,Google_Search_Q1,,7,1,3,84.03,14.94,4.84,3.53,77.46,32.34,41.59,53.69,7127.8,True,7
ORD-493926,2022-06-19,05:58:41,Completed,Website,CUST-024685,Ronald Lopez,57,Female,Business,Loyal,Lake Thomasstad,Tamil Nadu,India,South,91930,Debit Card,Paid,INR,Economy,WH-017,9.0,9.0,On Time,,,3.9,Positive,Satisfied with the purchase.,TikTok,,,54,34,4,512.59,59.21,81.61,5.44,540.4300000000001,286.57,248.42,45.97,4319.150000000001,True,4
ORD-541411,2022-09-22,18:04:38,Returned,Website,CUST-010917,Dawn Saunders,21,Female,Consumer,Loyal,Perryfort,Sharjah,UAE,North,36276,Credit Card,Refunded,AED,Economy,WH-013,,,Cancelled,Returned,Changed Mind,,,,Direct,,SAVE40,0,0,2,428.98,0.0,21.45,5.19,455.62,177.5,272.93,59.9,9709.05,True,6
ORD-952093,2022-04-08,07:56:22,Completed,Website,CUST-012396,Charles Hoover,52,Male,Consumer,Loyal,Meganfort,California,USA,West,47823,Debit Card,Paid,USD,Standard,WH-001,6.0,6.0,On Time,,,3.5,Positive,Good value for money.,Direct,,,200,190,10,1931.59,110.99,127.44,54.03000000000001,2002.07,910.77,1037.2700000000002,51.81,3542.68,True,4
